data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,changing times,remote numbers
20190131,MXD688,WBKK,ZBTJ,-20400.0,0.0,-16260,1260,B738,35.8,MalindoAir,16R,103,9MLNT,172.0,7.0
20190201,MXD689,ZBTJ,WBKK,19030.0,21360.0,26720,31360,B738,35.8,MalindoAir,16R,101,9MLNT,,
20190201,TGW139,ZBTJ,WSSS,33600.0,56700.0,41580,0,B789,60.0,SCOOTER,16R,101,9VOJB,,
20190201,TGW138,WSSS,ZBTJ,5400.0,26700.0,14820,34200,B789,60.0,SCOOTER,16L,105,9VOJB,,
20190201,GCR7577,ZWWW,ZBTJ,31800.0,46200.0,32700,45180,A320,34.1,TianjinAirlines,16R,214,B1031,,
20190201,GCR7577,ZBTJ,ZYCC,51900.0,58800.0,54480,60000,A320,34.1,TianjinAirlines,16R,205,B1031,,
20190201,CGH1029,ZGKL,ZBTJ,32700.0,42900.0,33360,42600,A320,34.1,GuizhouAirlines,16L,111,B1040,,
20190201,CGH1030,ZBTJ,ZGKL,48000.0,57900.0,51960,61980,A320,34.1,GuizhouAirlines,16R,110,B1040,,
20190201,CDC8853,ZSNB,ZBTJ,70800.0,79200.0,72120,80100,A320,34.1,ZhejiangLoongAlrlines,16L,111,B1075,,
20190201,CDC8854,ZBTJ,ZSNB,82800.0,3900.0,83940,89820,A320,34.1,ZhejiangLoongAlrlines,16R,111,B1075,,
20190201,OKA270T,ZSHC,ZBTJ,36300.0,44400.0,37560,44400,B38M,35.9,OkayAirways,16R,222,B1157,,
20190201,OKA3097,ZBTJ,ZSHC,24900.0,32400.0,49500,55920,B38M,35.9,OkayAirways,16R,226,B1157,,
20190201,HBH3309,ZBTJ,ZSWZ,32400.0,41100.0,33720,40980,B738,35.8,HEBEIAIRLINES,16R,111,B1158,,
20190201,CCA750,VTBS,ZBTJ,9600.0,25800.0,11160,25740,B738,35.8,AirChina,16R,201,B1218,,
20190201,CCA1671,ZBTJ,ZGSZ,42300.0,55500.0,45900,56820,B738,35.8,AirChina,16R,109,B1218,,
20190201,CCA1672,ZGSZ,ZBTJ,59100.0,70200.0,61920,71580,B738,35.8,AirChina,16L,202,B1218,,
20190201,CCA1529,ZBTJ,ZSAM,24600.0,34800.0,24420,32520,B738,35.8,AirChina,16R,107,B1219,,
20190201,CCA1530,ZSAM,ZBTJ,38700.0,48600.0,39660,48480,B738,35.8,AirChina,16L,108,B1219,,
20190201,CCA1319,ZBTJ,ZGSZ,52200.0,64200.0,56640,67500,B738,35.8,AirChina,16R,203,B1219,,
20190201,CCA1320,ZGSZ,ZBTJ,68700.0,80100.0,71580,80700,B738,35.8,AirChina,16L,108,B1219,,
20190201,JYH1067,ZUGY,ZBTJ,61500.0,71700.0,61260,71160,B738,35.8,TRANSJADE,16L,112,B1233,,
20190201,JYH1068,ZBTJ,ZUGY,75600.0,900.0,76260,87540,B738,35.8,TRANSJADE,16R,113,B1233,,
20190201,CSN6894,ZBTJ,ZWWW,30600.0,46500.0,36900,51660,B738,35.8,ChinaSouthernAirlines,16R,218,B1283,,
20190201,OKA2729,ZYHB,ZBTJ,24000.0,31800.0,24480,30900,B739,34.3,OkayAirways,16R,224,B1291,,
20190201,OKA2729,ZBTJ,ZJSY,38100.0,53100.0,39120,53280,B739,34.3,OkayAirways,16R,224,B1291,,
20190201,OKA2730,ZJSY,ZBTJ,56700.0,70800.0,57780,69780,B739,34.3,OkayAirways,16L,222,B1291,,
20190201,OKA2730,ZBTJ,ZYHB,80100.0,900.0,80880,87600,B739,34.3,OkayAirways,16R,224,B1291,,
20190201,HBH3310,ZSWZ,ZBTJ,73200.0,82200.0,78300,86280,B738,35.8,HEBEIAIRLINES,16R,110,B1328,,
20190131,OKA2826,ZSHC,ZBTJ,-6300.0,-84900.0,-5280,1560,B738,35.8,OkayAirways,16R,222,B1338,,
20190201,OKA2859,ZBTJ,ZGSZ,27000.0,39600.0,29760,40980,B738,35.8,OkayAirways,16R,223,B1338,,
20190201,OKA2860,ZGSZ,ZBTJ,61500.0,73800.0,62520,72060,B738,35.8,OkayAirways,16R,222,B1338,,
20190201,OKA2884,ZBTJ,ZLXY,81000.0,2400.0,81600,87960,B738,35.8,OkayAirways,16R,223,B1338,,
20190201,CHH7201,ZGGG,ZBTJ,31500.0,42900.0,32520,41460,B38M,35.9,HainanAirlines,16L,210,B1390,,
20190201,CHH7202,ZBTJ,ZGGG,46500.0,58500.0,52560,63540,B38M,35.9,HainanAirlines,16R,209,B1390,,
20190201,CCA1401,ZBTJ,ZPPP,55800.0,68700.0,56520,68220,B738,35.8,AirChina,16R,107,B1418,,
20190201,CCA1402,ZPPP,ZBTJ,73200.0,84600.0,74460,84240,B738,35.8,AirChina,16R,108,B1418,,
20190201,OKA2931,ZBTJ,ZGHA,29100.0,37500.0,33180,40980,B739,34.3,OkayAirways,16R,223,B1420,,
20190201,OKA2932,ZGHA,ZBTJ,63000.0,72000.0,63780,71220,B739,34.3,OkayAirways,16L,223,B1420,,
20190201,OKA2788,ZBTJ,ZGGG,76200.0,1500.0,76980,88320,B739,34.3,OkayAirways,16R,223,B1420,,
20190201,OKA2753,ZBTJ,RPVK,36000.0,53700.0,38700,55860,B738,35.8,OkayAirways,16R,223,B1450,,
20190201,OKA2754,RPVK,ZBTJ,57300.0,75000.0,60360,76680,B738,35.8,OkayAirways,16L,222,B1450,,
20190201,CUA2217,ZBTJ,ZSSS,24600.0,32400.0,25740,31200,B738,35.8,LIANHANG,16R,110,B1471,,
20190201,CSZ8743,ZSQZ,ZBTJ,46200.0,56400.0,51120,59760,B738,35.8,ShenzhenAirlines,16L,202,B1477,,
20190201,CSZ8744,ZBTJ,ZSQZ,62900.0,71900.0,64320,72960,B738,35.8,ShenzhenAirlines,16R,108,B1477,,
