data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,changing times,remote numbers
20170819,TGW187,ZBTJ,WSSS,33600.0,55200.0,35340,0,B788,60.0,SCOOTER,16R,101.0,9VOJC,198.0,4.0
20170819,TGW188,WSSS,ZBTJ,5400.0,27000.0,7020,27000,B788,60.0,SCOOTER,16R,105.0,9VOJC,,
20170819,CCA1533,ZBTJ,ZSSS,30420.0,35700.0,32940,38040,B737,35.8,AirChina,16R,117,B1418,,
20170819,CCA1534,ZSSS,ZBTJ,39300.0,47700.0,47460,53580,B737,35.8,AirChina,16L,118,B1418,,
20170819,CCA1241,ZBTJ,ZLXN,55500.0,64500.0,58260,65580,B738,35.8,AirChina,16R,118,B1418,,
20170819,CCA1242,ZLXN,ZBTJ,71100.0,79800.0,70800,77700,B738,35.8,AirChina,16L,118,B1418,,
20170818,OKA2834,ZSCN,ZBTJ,-10500.0,-2100.0,9420,16440,B738,35.8,OkayAirways,16R,222,B1420,,
20170819,OKA2945,ZBTJ,ZGSZ,27900.0,40200.0,29220,40080,B739,34.3,OkayAirways,16R,222,B1420,,
20170819,OKA2946,ZGSZ,ZBTJ,62400.0,73500.0,63180,72840,B739,34.3,OkayAirways,16R,222,B1420,,
20170819,OKA2788,ZBTJ,ZGGG,78000.0,3300.0,80280,89400,B739,34.3,OkayAirways,16R,222,B1420,,
20170819,CDG4718,ZBHH,ZBTJ,42900.0,48000.0,49980,54120,B738,35.8,shandongAirlines,16L,203,B1436,,
20170819,CDG4718,ZBTJ,ZSQD,51600.0,55800.0,58320,61380,B738,35.8,shandongAirlines,16R,109,B1436,,
20170819,OKA2989,ZBTJ,RJTT,78900.0,7200.0,80760,0,B738,35.8,OkayAirways,16R,223,B1450,,
20170818,OKA2832,ZGSD,ZBTJ,-25500.0,-14400.0,-10320,180,B739,34.3,OkayAirways,16R,223,B1450,,
20170819,OKA2877,ZBTJ,ZSNB,24900.0,32100.0,25440,31920,B738,35.8,OkayAirways,16R,223,B1450,,
20170819,OKA2878,ZSNB,ZBTJ,36300.0,44100.0,43920,50820,B738,35.8,OkayAirways,16L,222,B1450,,
20170819,OKA2847,ZBTJ,ZUCK,52200.0,62100.0,55260,63180,B738,35.8,OkayAirways,16R,223,B1450,,
20170819,OKA2848,ZUCK,ZBTJ,66300.0,75300.0,67860,76380,B738,35.8,OkayAirways,16L,222,B1450,,
20170819,CSH9064,ZBTJ,ZSSS,73160.0,78900.0,76620,0,B738,35.8,ShanghaiAirlines,16R,219,B1453,,
20170819,CSH9063,ZSSS,ZBTJ,57300.0,66000.0,64320,70560,B738,35.8,ShanghaiAirlines,16L,218,B1453,,
20170819,CHH7797,ZSCN,ZBTJ,57900.0,66000.0,59340,66420,B738,35.8,HainanAirlines,16L,209,B1492,,
20170819,CHH7798,ZBTJ,ZSCN,69600.0,75000.0,71040,77400,B738,35.8,HainanAirlines,16R,209,B1492,,
20170819,CHH7202,ZGGG,ZBTJ,58200.0,69300.0,60360,69600,B738,35.8,HainanAirlines,16L,207,B1501,,
20170819,CHH7201,ZBTJ,ZGGG,73200.0,84300.0,73740,82380,B738,35.8,HainanAirlines,16R,208,B1501,,
20170819,CHH7167,ZYTL,ZBTJ,26400.0,30900.0,26820,29280,B738,35.8,HainanAirlines,16R,213,B1502,,
20170819,CCA1678,ZGKL,ZBTJ,53700.0,63900.0,57420,66300,B738,35.8,AirChina,16L,202,B1526,,
20170819,CCA167R,ZBTJ,ZYHB,21600.0,28200.0,21780,28320,B738,35.8,AirChina,16R,107,B1526,,
20170819,CCA1677,ZYHB,ZBTJ,28200.0,36300.0,33120,39600,B738,35.8,AirChina,16L,201,B1526,,
20170819,CCA1678,ZBTJ,ZGKL,42500.0,52400.0,44700,53040,B738,35.8,AirChina,16R,108,B1526,,
20170819,CCA1679,ZBTJ,ZGKL,69000.0,76200.0,70740,77040,B738,35.8,AirChina,16R,109,B1526,,
20170819,CCA815,ZBTJ,ROAH,36600.0,48000.0,36780,0,B738,35.8,AirChina,16R,108,B1528,,
20170819,CCA816,ROAH,ZBTJ,51600.0,64200.0,52200,61500,B738,35.8,AirChina,16R,201,B1528,,
20170819,CCA1655,ZBTJ,ZSPD,72900.0,80100.0,76980,83580,B738,35.8,AirChina,16R,109,B1528,,
20170819,JYH1055,ZGGG,ZBTJ,23100.0,35100.0,25440,35160,B738,35.8,TRANSJADE,16L,112.0,B1552,,
20170819,JYH1056,ZBTJ,ZGGG,44100.0,54900.0,45060,54360,B738,35.8,TRANSJADE,16R,110.0,B1556,,
20170818,OKA2708,ZYTL,ZBTJ,-2400.0,-84600.0,7680,10380,B739,34.3,OkayAirways,16R,224,B1581,,
20170819,OKA2823,ZBTJ,ZLXY,26700.0,32100.0,25860,31740,B738,35.8,OkayAirways,16R,224,B1581,,
20170819,LKE9727,ZUMY,ZBTJ,69000.0,77100.0,71340,80040,B738,35.8,LUCKYAIR,16R,213,B1588,,
20170819,LKE9728,ZBTJ,ZUMY,81700.0,3000.0,83700,91440,B738,35.8,LUCKYAIR,16R,209,B1588,,
20170819,CQH8814,ZBTJ,ZSPD,38100.0,45300.0,39480,45180,A320,34.1,ShanghaiSpringAirlines,16R,110.0,B1627,,
20170819,CSN6579,ZYTL,ZBTJ,27000.0,30600.0,27120,29760,A320,34.1,ChinaSouthernAirlines,16R,220,B1651,,
20170819,CSN6579,ZBTJ,ZUCK,34200.0,44100.0,36120,44160,A320,34.1,ChinaSouthernAirlines,16R,217,B1651,,
20170819,CSN6580,ZUCK,ZBTJ,47700.0,56400.0,49860,57900,A320,34.1,ChinaSouthernAirlines,16L,221,B1651,,
20170819,CSN6580,ZBTJ,ZYTL,60300.0,64200.0,62520,65340,A320,34.1,ChinaSouthernAirlines,16R,217,B1651,,
20170819,GCR7584,ZYHB,ZBTJ,45000.0,52800.0,45480,51480,A320,34.1,TianjinAirlines,16L,213,B1659,,
20170819,GCR7584,ZBTJ,ZLXY,56700.0,63600.0,57720,63060,A320,34.1,TianjinAirlines,16R,210,B1659,,
20170819,GCR7577,ZWWW,ZBTJ,33600.0,47100.0,33720,45660,A320,34.1,TianjinAirlines,16L,209,B1692,,
20170819,GCR7577,ZBTJ,ZYCC,51000.0,57300.0,54480,60240,A320,34.1,TianjinAirlines,16R,211,B1692,,
20170819,GCR7578,ZYCC,ZBTJ,61200.0,67200.0,65220,70260,A320,34.1,TianjinAirlines,16L,211,B1692,,
20170819,GCR7578,ZBTJ,ZWWW,71700.0,83280.0,74820,89280,A320,34.1,TianjinAirlines,16R,209,B1692,,
20170819,QDA9854,ZBLA,ZBTJ,58200.0,67500.0,58620,66900,A320,34.1,SKYLEGEND,16L,110.0,B1693,,
20170819,QDA9854,ZBTJ,ZSQD,75000.0,79500.0,76080,79020,A320,34.1,SKYLEGEND,16R,110.0,B1693,,
20170819,QDA9853,ZSQD,ZBTJ,24600.0,29700.0,25260,28380,A320,34.1,SKYLEGEND,16R,110.0,B1695,,
20170819,QDA9853,ZBTJ,ZBLA,36000.0,45300.0,36600,44400,A320,34.1,SKYLEGEND,16R,111.0,B1695,,
20170819,CXA8682,ZSAM,ZBTJ,69600.0,80100.0,70440,79200,B738,35.8,XiamenAirlines,16L,225,B1706,,
20170819,CXA8097,ZBTJ,ZSQZ,29700.0,37500.0,34140,42840,B738,35.8,XiamenAirlines,16R,226,B1709,,
20170819,CXA8098,ZSQZ,ZBTJ,66300.0,76500.0,69120,78180,B738,35.8,XiamenAirlines,16L,227,B1709,,
20170819,OKA2897,ZBTJ,ZPPP,35100.0,48000.0,36480,46860,B738,35.8,OkayAirways,16R,222,B1732,,
20170819,OKA2898,ZPPP,ZBTJ,66000.0,77400.0,67860,78780,B738,35.8,OkayAirways,16L,224,B1732,,
20170819,OKA2884,ZBTJ,ZLXY,81000.0,2400.0,82560,88500,B738,35.8,OkayAirways,16R,224,B1732,,
20170819,DKH1135,ZSPD,ZBTJ,51300.0,59700.0,55020,60780,A321,34.1,ShanghaiJuneyaoAirlines,16L,111.0,B1808,,
20170819,DKH1135,ZBTJ,ZYBS,63300.0,69600.0,66300,71640,A321,34.1,ShanghaiJuneyaoAirlines,16R,111.0,B1808,,
20170819,GCR7989,ZBTJ,RJTT,72600.0,83100.0,75360,0,A320,34.1,TianjinAirlines,16R,208,B1849,,
20170819,GCR7815,ZBTJ,ZSQD,27900.0,32100.0,28140,31020,A320,34.1,TianjinAirlines,16R,209,B1849,,
